time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Regional,E92000001,England,E12000006,East of England,,,,By Age 25,Free School Meals,All Other Pupils,Total,51.0
201415,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,By Age 25,Free School Meals,All Other Pupils,Total,51.4
201415,Academic year,Regional,E92000001,England,E12000009,South West,,,,By Age 25,Free School Meals,All Other Pupils,Total,49.8
201415,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,By Age 25,Free School Meals,All Other Pupils,Total,50.1
201415,Academic year,Regional,E92000001,England,E12000002,North West,,,,By Age 25,Free School Meals,All Other Pupils,Total,54.5
201415,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,By Age 25,Free School Meals,All Other Pupils,Total,53.7
201415,Academic year,Regional,E92000001,England,E12000007,London,,,,By Age 25,Free School Meals,All Other Pupils,Total,66.1
201415,Academic year,Regional,E92000001,England,E12000001,North East,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,11.6
201415,Academic year,Regional,E92000001,England,E12000008,South East,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,15.6
201415,Academic year,Regional,E92000001,England,E12000006,East of England,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,14.2
201415,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,11.8
201415,Academic year,Regional,E92000001,England,E12000009,South West,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,13.1
201415,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,10.9
201415,Academic year,Regional,E92000001,England,E12000002,North West,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,13.8
201415,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,10.6
201415,Academic year,Regional,E92000001,England,E12000007,London,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,19.6
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,By Age 25,Free School Meals,All Other Pupils,Total,51.6
201415,Academic year,Local authority,E92000001,England,E12000007,London,319,E09000029,Sutton,By Age 25,Free School Meals,All Other Pupils,Total,69.7
201415,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,By Age 25,Free School Meals,All Other Pupils,Total,54.3
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,By Age 25,Free School Meals,All Other Pupils,Total,47.3
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,By Age 25,Free School Meals,All Other Pupils,Total,56.6
201415,Academic year,Local authority,E92000001,England,E12000007,London,203,E09000011,Greenwich,By Age 25,Free School Meals,All Other Pupils,Total,60.8
201415,Academic year,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,By Age 25,Free School Meals,All Other Pupils,Total,50.3
201415,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,By Age 25,Free School Meals,All Other Pupils,Total,55.7
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,By Age 25,Free School Meals,All Other Pupils,Total,50.3
201415,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,By Age 25,Free School Meals,All Other Pupils,Total,45.2
201415,Academic year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,By Age 25,Free School Meals,All Other Pupils,Total,58.4
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,By Age 25,Free School Meals,All Other Pupils,Total,48.1
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,By Age 25,Free School Meals,All Other Pupils,Total,44.0
201415,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,By Age 25,Free School Meals,All Other Pupils,Total,54.7
201415,Academic year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,By Age 25,Free School Meals,All Other Pupils,Total,47.2
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,By Age 25,Free School Meals,All Other Pupils,Total,48.3
201415,Academic year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,By Age 25,Free School Meals,All Other Pupils,Total,54.1
201415,Academic year,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,By Age 25,Free School Meals,All Other Pupils,Total,53.9
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,By Age 25,Free School Meals,All Other Pupils,Total,54.6
